Input phrase,Similarity scores
cutting wood,"[0.6639886498451233, 0.6426337361335754, 0.6253297924995422, 0.744610607624054, 0.6772074103355408, 0.7341035008430481, 0.7216925024986267, 0.7171285152435303, 0.7052695155143738, 0.6623808145523071, 0.6283299922943115]"
didn�t know how to use lathe,"[0.8177454471588135, 0.6947489976882935, 0.6828552484512329, 0.6982572674751282, 0.7032127380371094, 0.8013914227485657, 0.7932611703872681, 0.6667121648788452, 0.7032217979431152, 0.6550225019454956, 0.6335610747337341]"
Finding drill,"[0.7081023454666138, 0.7431508302688599, 0.6321247220039368, 0.6423778533935547, 0.7028259634971619, 0.6890283226966858, 0.7189375162124634, 0.6185253262519836, 0.8373017311096191, 0.6501729488372803, 0.64520263671875]"
Taking out trash,"[0.6224374771118164, 0.5944104194641113, 0.6205049753189087, 0.6365064382553101, 0.7045395970344543, 0.6881803870201111, 0.6482996344566345, 0.7533307671546936, 0.6860920190811157, 0.7979273796081543, 0.6212440729141235]"
Finding clamp,"[0.7191015481948853, 0.62263423204422, 0.6159369945526123, 0.6662777662277222, 0.8367976546287537, 0.6632168292999268, 0.6975088715553284, 0.6413568258285522, 0.7218217849731445, 0.6782813668251038, 0.6157587766647339]"
Loosening the lathe,"[0.8755266666412354, 0.6772933006286621, 0.6304352283477783, 0.6947206258773804, 0.6963386535644531, 0.7736029028892517, 0.8027946352958679, 0.6245355010032654, 0.6868747472763062, 0.6233198642730713, 0.5914426445960999]"
Cleaning up after others,"[0.6048534512519836, 0.5730786919593811, 0.6131623983383179, 0.6119062900543213, 0.6874589323997498, 0.6928909420967102, 0.6389278769493103, 0.6892221570014954, 0.6434914469718933, 0.6846921443939209, 0.6387963891029358]"
Equipment too big,"[0.7429525852203369, 0.7743679881095886, 0.7345448732376099, 0.7400888204574585, 0.6935852766036987, 0.6804493069648743, 0.7037057876586914, 0.7014153003692627, 0.6915761828422546, 0.6532043218612671, 0.6308040022850037]"
Too small of wood scraps.,"[0.7356135249137878, 0.7233502864837646, 0.7162877321243286, 0.7489858269691467, 0.7413250207901001, 0.7560270428657532, 0.7023020386695862, 0.9133495092391968, 0.7305617332458496, 0.7032884359359741, 0.6680744290351868]"
Had to take trash out.,"[0.6809148192405701, 0.6343483328819275, 0.6925535202026367, 0.6489455699920654, 0.7670454978942871, 0.7192516922950745, 0.6657662391662598, 0.8097444176673889, 0.6949120759963989, 0.8435602188110352, 0.6807411909103394]"
Had to find a clamp.,"[0.7683995366096497, 0.6809384226799011, 0.6780785322189331, 0.6995476484298706, 0.8766099214553833, 0.6864665746688843, 0.7256252765655518, 0.7056297063827515, 0.7470623254776001, 0.7126340866088867, 0.6538551449775696]"
Had to dig in unlabeled container for a 12v drill.,"[0.7162121534347534, 0.7814162969589233, 0.677148699760437, 0.6608672738075256, 0.7162390947341919, 0.6899212002754211, 0.6976406574249268, 0.6619978547096252, 0.8705617785453796, 0.6723262667655945, 0.6747878193855286]"
"Got bumped while using sander, accidentally pressed emergency stop button.","[0.7367229461669922, 0.6802878379821777, 0.6878885626792908, 0.7249884009361267, 0.745174765586853, 0.7560200691223145, 0.870116114616394, 0.6947460174560547, 0.7069419622421265, 0.7490046620368958, 0.6648897528648376]"
Had to clean off messy workspace.,"[0.715987503528595, 0.6699849963188171, 0.6997494101524353, 0.678189218044281, 0.7416789531707764, 0.790473461151123, 0.6971505880355835, 0.7350791096687317, 0.7175864577293396, 0.7286805510520935, 0.7043712735176086]"
Gloves were too big.,"[0.746640682220459, 0.7772881984710693, 0.8273451924324036, 0.7009680867195129, 0.7075045108795166, 0.6774936318397522, 0.7008581757545471, 0.7374765276908875, 0.6636956930160522, 0.679541826248169, 0.6598972678184509]"
People putting garbage in the scrp bin,"[0.6165714263916016, 0.5950798392295837, 0.6314155459403992, 0.6660842895507812, 0.7274709343910217, 0.6851435303688049, 0.6569613218307495, 0.7414425015449524, 0.6220135688781738, 0.7643300890922546, 0.6305164694786072]"
People not throwing trash properly ripping the bag,"[0.6249635815620422, 0.6248820424079895, 0.661272406578064, 0.6697872281074524, 0.707683265209198, 0.6371909976005554, 0.6565963625907898, 0.7472940683364868, 0.5997674465179443, 0.8063248991966248, 0.6050000786781311]"
People not putting things where they go,"[0.6615799069404602, 0.655745267868042, 0.6610167622566223, 0.7042593359947205, 0.770421028137207, 0.6374067068099976, 0.6832503080368042, 0.7225071787834167, 0.665744960308075, 0.6695361137390137, 0.6546062231063843]"
People not putting things back the way they were found,"[0.6823203563690186, 0.6687855124473572, 0.6807882785797119, 0.6728471517562866, 0.8097732663154602, 0.6801695227622986, 0.6814148426055908, 0.7546045780181885, 0.7121949791908264, 0.7175499796867371, 0.6706218123435974]"
People leaving a mess and not cleaning up,"[0.6332610845565796, 0.6457111835479736, 0.6563612222671509, 0.6426969170570374, 0.7231042981147766, 0.6875865459442139, 0.6473217010498047, 0.7410327792167664, 0.6610192060470581, 0.7059399485588074, 0.6761354207992554]"
bumped by person using belt sander,"[0.7261990308761597, 0.6551104784011841, 0.6510727405548096, 0.7532327771186829, 0.7186649441719055, 0.7782342433929443, 0.8179130554199219, 0.6629852056503296, 0.7170771360397339, 0.7384853363037109, 0.635886549949646]"
garbage bag had hole,"[0.6647463440895081, 0.6312861442565918, 0.6725823283195496, 0.6444109082221985, 0.7119467258453369, 0.6980025172233582, 0.6738147735595703, 0.7280212044715881, 0.6706766486167908, 0.8350141644477844, 0.635246217250824]"
sawdust left on machine,"[0.6628457307815552, 0.6305043697357178, 0.6341332197189331, 0.695892870426178, 0.6913571953773499, 0.8184319734573364, 0.672599732875824, 0.6964168548583984, 0.6635600328445435, 0.6996469497680664, 0.631707489490509]"
lathe chuck tightened too tight,"[0.9192302823066711, 0.6784360408782959, 0.6439657211303711, 0.6527087688446045, 0.6835296154022217, 0.7432838678359985, 0.773128092288971, 0.6116427183151245, 0.6734205484390259, 0.6149807572364807, 0.6142712235450745]"
only found 18V drill which was too big,"[0.7109822034835815, 0.8683000206947327, 0.6868271231651306, 0.6470776796340942, 0.6708016395568848, 0.6580303907394409, 0.6761550903320312, 0.6568676829338074, 0.8030446171760559, 0.6132032871246338, 0.6328266263008118]"
Someone pushed them ,"[0.749732255935669, 0.7315280437469482, 0.6810569763183594, 0.6891781091690063, 0.752143144607544, 0.6965125799179077, 0.8037387132644653, 0.6956329941749573, 0.7218126654624939, 0.7403624653816223, 0.649183452129364]"
Finding clamps,"[0.7083683609962463, 0.6240118145942688, 0.6246324181556702, 0.6717652082443237, 0.827390193939209, 0.6540861129760742, 0.6872825026512146, 0.6516116857528687, 0.7171381711959839, 0.6614453792572021, 0.6144946217536926]"
Loosening the chuck,"[0.8644933700561523, 0.691713273525238, 0.6409552693367004, 0.6648117899894714, 0.7034181356430054, 0.6890755295753479, 0.7531141042709351, 0.6139610409736633, 0.725062906742096, 0.6512184143066406, 0.6115485429763794]"
people squeezing by and caused him to restart,"[0.7398729920387268, 0.6393081545829773, 0.6759684085845947, 0.622774600982666, 0.744758665561676, 0.6890151500701904, 0.7794291377067566, 0.6429271101951599, 0.634820282459259, 0.7181403040885925, 0.6810124516487122]"
finding a drill,"[0.7043089866638184, 0.755120575428009, 0.6356349587440491, 0.6548503041267395, 0.695457935333252, 0.6796388030052185, 0.7116624712944031, 0.6265814304351807, 0.8432638049125671, 0.6448572278022766, 0.6347731947898865]"
clearing the scrap bin,"[0.641278088092804, 0.6016955971717834, 0.6282508969306946, 0.6521652340888977, 0.7273741960525513, 0.7401184439659119, 0.6518607139587402, 0.7344606518745422, 0.6698080897331238, 0.7611908316612244, 0.6394525766372681]"
Height of miter saw,"[0.5902560353279114, 0.5861366391181946, 0.5701322555541992, 0.806089460849762, 0.6002652049064636, 0.6653764843940735, 0.6448678970336914, 0.5930584073066711, 0.6163585186004639, 0.5735840797424316, 0.565875232219696]"
Trash in the scrap bin,"[0.592211127281189, 0.591894268989563, 0.6200478672981262, 0.6426529884338379, 0.6953085660934448, 0.6692537665367126, 0.6225802898406982, 0.7846609950065613, 0.638847827911377, 0.774137556552887, 0.6002846956253052]"
Ripped Trash bag,"[0.6334193348884583, 0.5735260248184204, 0.6474533677101135, 0.6323209404945374, 0.6962804198265076, 0.6899076700210571, 0.6527996063232422, 0.7423855066299438, 0.6281824707984924, 0.8924174904823303, 0.6043418645858765]"
Epoxy,"[0.6735045313835144, 0.5969203114509583, 0.7741376757621765, 0.6235079765319824, 0.6363801956176758, 0.6855618953704834, 0.675797164440155, 0.6237642765045166, 0.6187106370925903, 0.6541181802749634, 0.7925156950950623]"
Clamp unavailable,"[0.7363089919090271, 0.6662340760231018, 0.6724632382392883, 0.6948690414428711, 0.8238480091094971, 0.6462957262992859, 0.7065780162811279, 0.6567919850349426, 0.6581961512565613, 0.6724488139152527, 0.64449143409729]"
Drill Unavailable ,"[0.7302572131156921, 0.7774313688278198, 0.6820843815803528, 0.6757389903068542, 0.7051900625228882, 0.6710277795791626, 0.7349463701248169, 0.6325026750564575, 0.7532750368118286, 0.6424269080162048, 0.6780423521995544]"
Lathe was dirty,"[0.8130963444709778, 0.6854527592658997, 0.6600147485733032, 0.6895739436149597, 0.6883881688117981, 0.8843552470207214, 0.7880945205688477, 0.7037763595581055, 0.6887383460998535, 0.6844304203987122, 0.6414839625358582]"
Accidental emergency stop,"[0.6604481935501099, 0.6564561128616333, 0.6618666648864746, 0.6702049970626831, 0.7336203455924988, 0.6518538594245911, 0.8121792674064636, 0.6511706709861755, 0.6607637405395508, 0.7207155227661133, 0.6835082769393921]"
Equipment not put away properly,"[0.7063897848129272, 0.6995604038238525, 0.6739786863327026, 0.7080858945846558, 0.7828506231307983, 0.7120230793952942, 0.6897060871124268, 0.690987229347229, 0.6966642141342163, 0.6854662895202637, 0.6698406338691711]"
People in the way while using power tools,"[0.7192217111587524, 0.7542746663093567, 0.6444929838180542, 0.7409404516220093, 0.741008460521698, 0.7338270545005798, 0.7909512519836426, 0.6833077669143677, 0.738817572593689, 0.66225266456604, 0.6358879208564758]"
Difficulty finding certain tools,"[0.7180972099304199, 0.7442910671234131, 0.7310560941696167, 0.7004724740982056, 0.7495671510696411, 0.7075744271278381, 0.6985636353492737, 0.7093984484672546, 0.7911502122879028, 0.6623682975769043, 0.6232922673225403]"
Couldnt find proper equipment (gloves),"[0.6828933358192444, 0.7284708023071289, 0.7795321345329285, 0.6773817539215088, 0.730414092540741, 0.6821141839027405, 0.6811267137527466, 0.6776101589202881, 0.7152617573738098, 0.6857823729515076, 0.6545613408088684]"
She was bumped into,"[0.6833683848381042, 0.6242532730102539, 0.6521978974342346, 0.690740168094635, 0.7328680753707886, 0.6995946764945984, 0.7618799209594727, 0.6595780253410339, 0.689987301826477, 0.7346397042274475, 0.6643193364143372]"
The lathe was left covered in saw dust,"[0.7917537689208984, 0.6970872282981873, 0.6828291416168213, 0.7492877244949341, 0.7237409353256226, 0.9060719609260559, 0.7845032811164856, 0.7181005477905273, 0.7077385783195496, 0.6796776056289673, 0.6658077239990234]"
The 18V drill was too big for her,"[0.7726386785507202, 0.8597379326820374, 0.7135937809944153, 0.696698009967804, 0.6798871159553528, 0.6843041777610779, 0.7306608557701111, 0.6829009652137756, 0.7758385539054871, 0.6455573439598083, 0.6808342337608337]"
The miter saw was too tall for her,"[0.7343184947967529, 0.7110211253166199, 0.706167995929718, 0.8631115555763245, 0.719679594039917, 0.7207476496696472, 0.7291497588157654, 0.7323350310325623, 0.6929863691329956, 0.6810389757156372, 0.6570468544960022]"
The clamps were not put away,"[0.7503266334533691, 0.6831067204475403, 0.6825640797615051, 0.7057294845581055, 0.8732885718345642, 0.6786435842514038, 0.7100481390953064, 0.7065064311027527, 0.6740041971206665, 0.676612913608551, 0.6748681664466858]"
Someone left pieces of wood that were too small in the scrap bin. ,"[0.7474067211151123, 0.7147935032844543, 0.7350324392318726, 0.7362189888954163, 0.8095771670341492, 0.79271399974823, 0.7358050346374512, 0.9029433727264404, 0.7750976085662842, 0.8016661405563354, 0.7110697627067566]"
Something was tightened too much so the emergency stop had to be used. ,"[0.8044794797897339, 0.7369805574417114, 0.7286238670349121, 0.6961888670921326, 0.7760723829269409, 0.6808817386627197, 0.8085152506828308, 0.7011851072311401, 0.6766846776008606, 0.7184656858444214, 0.70123690366745]"
The only available drill was too big so she had to looo through unlabeled drawers for a smaller one. ,"[0.7856212854385376, 0.8013337254524231, 0.7637189030647278, 0.6985651254653931, 0.7360963821411133, 0.7113146781921387, 0.703345775604248, 0.7414913177490234, 0.8207773566246033, 0.6738309860229492, 0.664524257183075]"
There weren�t gloves in her size. ,"[0.6929149627685547, 0.7601014375686646, 0.800460934638977, 0.6866915225982666, 0.6889522671699524, 0.6627967953681946, 0.6666474342346191, 0.7115564346313477, 0.6925087571144104, 0.6540361642837524, 0.644858181476593]"
Crowded workspace,"[0.688811182975769, 0.6660218238830566, 0.6691988706588745, 0.6933427453041077, 0.6936275959014893, 0.6809152960777283, 0.7019043564796448, 0.6514405012130737, 0.6732490062713623, 0.6365196108818054, 0.6446046829223633]"
Too big of gloves,"[0.7125484347343445, 0.7646765112876892, 0.8004937767982483, 0.7137327194213867, 0.6717596650123596, 0.6490897536277771, 0.6651740670204163, 0.6956103444099426, 0.6555715203285217, 0.6269264221191406, 0.6281247735023499]"
Other people's messes,"[0.6349595785140991, 0.6183779835700989, 0.6439906358718872, 0.6478739380836487, 0.6739147305488586, 0.6964811086654663, 0.6624195575714111, 0.7167448401451111, 0.6651120781898499, 0.7059437036514282, 0.6448453068733215]"
Other people's incorrect use of machines,"[0.6902997493743896, 0.7001557946205139, 0.6630012392997742, 0.7007482647895813, 0.7046734690666199, 0.6994177103042603, 0.7286830544471741, 0.6963943243026733, 0.6808034777641296, 0.7057672739028931, 0.6417241096496582]"
Disorganized tool stock,"[0.7224875688552856, 0.7028878927230835, 0.66704922914505, 0.668209433555603, 0.708258330821991, 0.732629120349884, 0.6927035450935364, 0.6611714959144592, 0.7231011986732483, 0.6822441816329956, 0.6035630106925964]"
Ripped trash bag,"[0.6334193348884583, 0.5735260248184204, 0.6474533677101135, 0.6323209404945374, 0.6962804198265076, 0.6899076700210571, 0.6527996063232422, 0.7423855066299438, 0.6281824707984924, 0.8924174904823303, 0.6043418645858765]"
Dirty workspace,"[0.664766252040863, 0.6520097851753235, 0.652806282043457, 0.6890223026275635, 0.6878374218940735, 0.7583656311035156, 0.6727451086044312, 0.7138811945915222, 0.7070831656455994, 0.6861738562583923, 0.6628197431564331]"
Miter saw too high,"[0.7034822106361389, 0.6692349314689636, 0.6307214498519897, 0.8529141545295715, 0.670052707195282, 0.7192551493644714, 0.7089727520942688, 0.6613661050796509, 0.6617486476898193, 0.6273259520530701, 0.6276838779449463]"
18V too large,"[0.6820407509803772, 0.8252633810043335, 0.6784851551055908, 0.654116690158844, 0.6068785786628723, 0.6222977638244629, 0.6622559428215027, 0.6191887855529785, 0.696780800819397, 0.5941052436828613, 0.6437578797340393]"
Bumped emergency stop,"[0.6646156907081604, 0.6426195502281189, 0.648928165435791, 0.6964415311813354, 0.7180211544036865, 0.6692412495613098, 0.8213421702384949, 0.6272273063659668, 0.6562705636024475, 0.719459593296051, 0.6631178259849548]"
Pressed the emergency stop button,"[0.6803085803985596, 0.6709576845169067, 0.6614646911621094, 0.6473840475082397, 0.7190831899642944, 0.6659762859344482, 0.8457959890365601, 0.6468374729156494, 0.6997344493865967, 0.7304437160491943, 0.6935625076293945]"
Had to clean out extra saw dust,"[0.7054091095924377, 0.6548546552658081, 0.666748046875, 0.7310240268707275, 0.7193626165390015, 0.8173592686653137, 0.7043758630752563, 0.7312344312667847, 0.6972334384918213, 0.7156466245651245, 0.6493874788284302]"
Had to find 12V since there was only 18V,"[0.6443603038787842, 0.7996916174888611, 0.6383774876594543, 0.6155450940132141, 0.6596299409866333, 0.627187192440033, 0.6417443752288818, 0.6318124532699585, 0.7915850281715393, 0.6270353198051453, 0.6725665926933289]"
Applying epoxy was difficult due to large gloves,"[0.7149084806442261, 0.7177895307540894, 0.9111809134483337, 0.7085685133934021, 0.6606959104537964, 0.6719457507133484, 0.6798325777053833, 0.6672194004058838, 0.6364374160766602, 0.6385757327079773, 0.7493794560432434]"
saw dust left,"[0.6629508137702942, 0.6659089922904968, 0.646641194820404, 0.7097734212875366, 0.7186222672462463, 0.7905868291854858, 0.6864656209945679, 0.7200803756713867, 0.6884647607803345, 0.7029795050621033, 0.650729238986969]"
equipment left too tight,"[0.8005324006080627, 0.7545145750045776, 0.7100170254707336, 0.7021058201789856, 0.7627200484275818, 0.677146315574646, 0.7269279956817627, 0.6791960000991821, 0.6989011764526367, 0.6843475699424744, 0.6515213847160339]"
trash needs to be taken out in new/sturdy bag,"[0.6196278929710388, 0.5604745149612427, 0.6196660399436951, 0.6296964883804321, 0.6856158971786499, 0.6670800447463989, 0.6039535403251648, 0.7058542370796204, 0.6145417094230652, 0.8017410039901733, 0.596763014793396]"
interrupted on lathe by someone bumping them,"[0.8216500282287598, 0.6985687613487244, 0.6782758235931396, 0.7483304142951965, 0.7318909764289856, 0.8198180794715881, 0.9091692566871643, 0.6747576594352722, 0.7032427191734314, 0.680812656879425, 0.6451439261436462]"
machinery left too high for use,"[0.7504420876502991, 0.7573396563529968, 0.7005181312561035, 0.7688003778457642, 0.7133452296257019, 0.7369077205657959, 0.7338301539421082, 0.7011829018592834, 0.6971815228462219, 0.6563234925270081, 0.6573774814605713]"
Having to throw away the unusable scraps,"[0.6164864301681519, 0.6184646487236023, 0.6833099126815796, 0.6765156984329224, 0.7261433005332947, 0.6919165849685669, 0.6310656070709229, 0.8142672777175903, 0.6481051445007324, 0.7451440095901489, 0.643244743347168]"
Replacing the garbage bag,"[0.5978848934173584, 0.5467191934585571, 0.6164992451667786, 0.6072109341621399, 0.668615996837616, 0.6639835834503174, 0.6188217997550964, 0.6867877244949341, 0.6309820413589478, 0.8788735270500183, 0.5893324613571167]"
Cleaning the lathe,"[0.777328610420227, 0.6313509941101074, 0.6222122311592102, 0.6492677330970764, 0.6542991995811462, 0.8650060296058655, 0.7512646317481995, 0.6393950581550598, 0.6503947973251343, 0.6360439658164978, 0.6098257303237915]"
Restarting the lathe from getting bumped into ,"[0.7641069889068604, 0.6007298231124878, 0.626676619052887, 0.6852837204933167, 0.6905309557914734, 0.7961279153823853, 0.829062283039093, 0.6129854321479797, 0.6507019400596619, 0.6429715156555176, 0.6317148804664612]"
Can�t find the right drill size because of clutter,"[0.7514265179634094, 0.7612158060073853, 0.7078168988227844, 0.674299955368042, 0.7538787126541138, 0.7125805616378784, 0.6886494755744934, 0.7199220657348633, 0.8106610774993896, 0.6629583835601807, 0.6353237628936768]"
Not a full range of glove sizes ,"[0.6214131116867065, 0.7392911911010742, 0.7896727919578552, 0.6643610000610352, 0.5974757075309753, 0.5997070670127869, 0.6036729216575623, 0.64983069896698, 0.6465480327606201, 0.574192225933075, 0.5725147128105164]"
Bolts too tightened on lathe ,"[0.8633533120155334, 0.6866649985313416, 0.634332001209259, 0.6657907366752625, 0.6938125491142273, 0.7556139230728149, 0.7597447633743286, 0.6274412274360657, 0.646826446056366, 0.5859448313713074, 0.6234008073806763]"
Table top is too high,"[0.6792790293693542, 0.6487858891487122, 0.6565524339675903, 0.8097426295280457, 0.6731699705123901, 0.6896549463272095, 0.6921994090080261, 0.6768696308135986, 0.6279041171073914, 0.6402443051338196, 0.6482563018798828]"
Cleaning up the machine,"[0.6841230988502502, 0.6266660690307617, 0.6283783316612244, 0.6607503294944763, 0.672046959400177, 0.7943195700645447, 0.6879003643989563, 0.6504631638526917, 0.6900122761726379, 0.7012152075767517, 0.6358132362365723]"
Finding the correct drill,"[0.6975803375244141, 0.7346770167350769, 0.6272150278091431, 0.6336638927459717, 0.6707741618156433, 0.664946436882019, 0.6995639801025391, 0.5977838039398193, 0.8012825846672058, 0.6317185759544373, 0.6367241144180298]"
Gloves were too big,"[0.7429189085960388, 0.7700976133346558, 0.8268114924430847, 0.7053760886192322, 0.701578676700592, 0.6752405762672424, 0.6939212679862976, 0.7264213562011719, 0.6669098734855652, 0.6748215556144714, 0.6609380841255188]"
Trash was full ,"[0.6666593551635742, 0.6425488591194153, 0.6797317266464233, 0.6233240365982056, 0.7273885011672974, 0.7135915160179138, 0.672016978263855, 0.7646410465240479, 0.6717835068702698, 0.8135333061218262, 0.6424538493156433]"
Scrap bin not used correctly ,"[0.6429605484008789, 0.6332549452781677, 0.6563515663146973, 0.6835219860076904, 0.712167501449585, 0.6880673170089722, 0.6532659530639648, 0.7426039576530457, 0.640741229057312, 0.7473962903022766, 0.6402021050453186]"
Someone left machine as they used it,"[0.7531447410583496, 0.7177119255065918, 0.6924453377723694, 0.7233649492263794, 0.7829989790916443, 0.7920080423355103, 0.7937592267990112, 0.7075856924057007, 0.762779176235199, 0.7675426006317139, 0.7245194315910339]"
Someone bumped into her,"[0.6740413308143616, 0.6208066940307617, 0.639493465423584, 0.6815924644470215, 0.7376309037208557, 0.6855959892272949, 0.7682469487190247, 0.6588279604911804, 0.6954496502876282, 0.7319225072860718, 0.6586726903915405]"
Trash was ripped,"[0.6568182706832886, 0.6151444911956787, 0.6771665811538696, 0.6522626280784607, 0.7247844934463501, 0.6984878778457642, 0.6761806607246399, 0.7846794724464417, 0.6540743112564087, 0.8677612543106079, 0.6334919929504395]"
Pieces that were too small were left in the trash,"[0.703765869140625, 0.716975748538971, 0.7332019209861755, 0.672706127166748, 0.7852315306663513, 0.7237953543663025, 0.6735519170761108, 0.9022929668426514, 0.7270508408546448, 0.7735612392425537, 0.6841891407966614]"
Gloves only had size large,"[0.6438948512077332, 0.7352984547615051, 0.8217309713363647, 0.6422297358512878, 0.6209637522697449, 0.6278945207595825, 0.6228455305099487, 0.6331491470336914, 0.6269627809524536, 0.627703070640564, 0.6026610136032104]"
The drill she wanted was buried in the cabinet ,"[0.7071744799613953, 0.7203619480133057, 0.6345354914665222, 0.6781755089759827, 0.7123504877090454, 0.7088404893875122, 0.7011197805404663, 0.6836189031600952, 0.8224779367446899, 0.6558770537376404, 0.6612837910652161]"
Got bumped into,"[0.6721494793891907, 0.6193219423294067, 0.652269721031189, 0.68281090259552, 0.733685314655304, 0.6951319575309753, 0.750156819820404, 0.6646769642829895, 0.6918063759803772, 0.7319367527961731, 0.6569556593894958]"
Gloves too large,"[0.7005280256271362, 0.7460787892341614, 0.8109593987464905, 0.7013518214225769, 0.6450089812278748, 0.6400921940803528, 0.6635199189186096, 0.6676448583602905, 0.6415959000587463, 0.6258916854858398, 0.6263812780380249]"
