"Lathe chuck overtightened: The lathe chuck was tightened too much, so the user loosened it with pliers"
"Drill too large: Only 18 V drills were displayed, which are too big to use with one hand"
"Gloves size large: Only size large disposable gloves were available, so the user struggled with the epoxy"
Tall miter saw: The miter saw is a bit uncomfortable to use since it’s on a tall table
"Clamps scattered around: The user had to hunt down a clamp, since people forgot to put them away"
"Sawdust, wood everywhere: The lathe was covered in sawdust and wood chips, so the user cleaned it up"
"Bumped into user: the user bumped the emergency stop button of the lathe, as someone squeezed behind them"
"Useless wood scraps: wood scraps were too small to be useful to anyone, so they went in the trash"
Unlabeled drill cabinet: the user dug through the unlabeled cabinets to find a smaller 12 V hand drill
"Ripped trash bag: the trash bag was ripped, so the user took the trash out and replaced the bag"
"Epoxy wait time: Epoxy needs to cure for 24 hours, so the user went home for the day"
