Speech Segment,Open code(s)
You are the devil's advocate of the group now.,Role allocation
"Yeah, exactly because like, if you make a like a game, it can get like super complicated and it's gonna take too much time.",Time commitment
Does anyone else want to add or subtract a topic? Yeah to what we're thinking about?,Facilitation
Let's sync up. Sure. I don't know. It could be like something super small to solve a problem. Like what's a teeny problem?,Facilitation
"Yeah, yeah, yeah. I mean, we can start from like big topics of like what we're interested in and then branch off of that. And then like like we could just write some big topics on there and then. OK, see.",Facilitation
How long are you guys going to be up for?,Time commitment
"Until 3 or 4. OK, that's realistic.",Time commitment
It depends on our like progress.,Time commitment
"Yeah, yeah. I think we should at least have the idea before.",Planning
What else is there?,Facilitation
"OK, how attached are you to the idea? Like if you're like, if the three of us can keep brainstorming and then you catch up once you come back from your workshop. Because I think before, before we split up for the night, or, like, do whatever we want to do,",Planning
What kind of use cases would we have for LLM's if that if we're going for a category?,Facilitation
What do we do instead?,Facilitation
Good question. I think we just take an idea and roll with it,Individual process suggestion
"Ah, So what other library open TV? Something like that. Something a little more out-of-the-box that does people instead of just like, does algorithms? OK so. To do: find libraries. What else?",Facilitation
"Because I think everyone should also just make an account, not miss an account. But that post like sign up for the hackathon and then get added and then we can make a GitHub repo and then. Yeah, add everyone and then figure out how we want to merge code and stuff and then go from there, yes. And then divide and conquer. What task do you want to do?",Team process clarification
What are we stuck on right now?,"Process, Facilitation"
I wanna call dibs,Task allocation
"Yeah, we can divide and conquer that I think. Whatever you guys, whoever wants to do that.",Task allocation
"I think do the research, but I guess.",Volunteering for task
"Oh, she already did it? Cool.",Task allocation
"Whichever decision you want to get to it, we just gotta get to one.",Forcing decision
"Yeah, yeah. And I can do the whole CV thing. So that's fine. No worries, I can do the whole CV thing so.",Taking on duties of leaving team member 
"Here we're all conquered and divided, right? You're all taking a break, yeah.",Process
