Code,Copilot F1
No code,0.0
Individual goal of getting a prize,0.6666666666666666
Individual not motivated by prizes,0.0
Individual goal to win,0.4
Individual goal to learn,0.0
Individual goal to have fun,0.0
Change of individual goal,0.0
Recognition of individual goals,0.0
Individual preference of idea,0.0
Team goal,0.0
Defining team goal,0.0
Scoping team goal,0.0
Team goal to win,0.0
Team goal to have fun,0.2
Goal validation,0.0
Individual contribution to team goal,0.0
Alignment of individual goal with team goal,0.0
Alignment of team goal with individual goal,0.0
Alignment of project with individual goal,0.0
Alignment of project with team goal,0.0
Suggestion to switch ideas to align with individual goal,0.0
Asking for clarification,0.0
Clarification,0.0
Clarification of team task,0.0
Explanation of function,0.0
Explanation of engineering concept,1.0
Process,0.0
Team process clarification,0.0
Facilitation,0.0
Individual process suggestion,0.0
Role allocation,0.0
Task allocation,0.4
Volunteering for task,0.0
Forcing decision,0.0
Planning,0.0
Plan to quit for the day,0.0
Time commitment,0.0
Taking on duties of leaving team member,0.0
Topic generation,0.0
Scoping,0.0
Convergence onto topic,0.0
Revisiting other idea,0.0
Project topic,0.0
Desired topic,0.0
Explanation of an idea,0.20512820512820512
Asking for idea clarification,0.2857142857142857
Clarification of idea,0.0
Expanding on idea,0.0
Validation of idea,0.0
Feasibility of idea,0.0
Coolness of idea,0.0
Uniqueness of project,0.0
Interest in how difficult the problem is,0.0
Completeness of project,0.0
Difficulty or challenge of idea,0.0
Challenge of the problem,0.0
Inspiration,0.0
Analogy,0.0
Chosen idea,0.0
Project selected and named,0.3333333333333333
Hackathon strategy,0.375
Prizes,0.75
Workshop,0.2857142857142857
Sponsor,1.0
Break,0.0
Hackathon versus industry project,0.0
Win ratio,1.0
Concern for resources,0.2222222222222222
Concern for timing,0.0
Checking in with others,0.0
Addressing group concern(s),0.0
Concern about health,0.0
Admiration,0.0
Reassurance,0.4
Sarcasm,0.0
Well wishes,0.4
Permission to leave team,0.0
Member leaves,0.0
Member returns,0.6666666666666666
Commenting on missing member,0.0
Recruitment of new team member,0.0
First mention of new team member,0.0
Self-identification of knowledge and skills,0.4
Awareness of conflict-inducing behavior,0.0
Awareness of selfish motivation,0.0
Relinquish control of project,1.0
Trying to claim idea as own,0.0
Fatigue,0.8888888888888888
Apprehension,0.0
