Input phrase,Assigned code
cutting wood,0
didn�t know how to use lathe,0
Finding drill,9
Taking out trash,10
Finding clamp,5
Loosening the lathe,1
Cleaning up after others,6
Equipment too big,0
Too small of wood scraps.,8
Had to take trash out.,10
Had to find a clamp.,5
Had to dig in unlabeled container for a 12v drill.,9
"Got bumped while using sander, accidentally pressed emergency stop button.",7
Had to clean off messy workspace.,6
Gloves were too big.,3
People putting garbage in the scrp bin,0
People not throwing trash properly ripping the bag,10
People not putting things where they go,0
People not putting things back the way they were found,0
People leaving a mess and not cleaning up,6
bumped by person using belt sander,7
garbage bag had hole,10
sawdust left on machine,6
lathe chuck tightened too tight,1
only found 18V drill which was too big,2
Someone pushed them ,7
Finding clamps,5
Loosening the chuck,0
people squeezing by and caused him to restart,7
finding a drill,9
clearing the scrap bin,8
Height of miter saw,4
Trash in the scrap bin,8
Ripped Trash bag,10
Epoxy,11
Clamp unavailable,5
Drill Unavailable ,9
Lathe was dirty,6
Accidental emergency stop,7
Equipment not put away properly,0
People in the way while using power tools,7
Difficulty finding certain tools,0
Couldnt find proper equipment (gloves),3
She was bumped into,7
The lathe was left covered in saw dust,6
The 18V drill was too big for her,2
The miter saw was too tall for her,4
The clamps were not put away,5
Someone left pieces of wood that were too small in the scrap bin. ,8
Something was tightened too much so the emergency stop had to be used. ,7
The only available drill was too big so she had to looo through unlabeled drawers for a smaller one. ,2
There weren�t gloves in her size. ,3
Crowded workspace,7
Too big of gloves,3
Other people's messes,6
Other people's incorrect use of machines,0
Disorganized tool stock,0
Ripped trash bag,10
Dirty workspace,6
Miter saw too high,4
18V too large,2
Bumped emergency stop,7
Pressed the emergency stop button,7
Had to clean out extra saw dust,6
Had to find 12V since there was only 18V,2
Applying epoxy was difficult due to large gloves,11
saw dust left,6
equipment left too tight,0
trash needs to be taken out in new/sturdy bag,10
interrupted on lathe by someone bumping them,0
machinery left too high for use,4
Having to throw away the unusable scraps,8
Replacing the garbage bag,10
Cleaning the lathe,0
Restarting the lathe from getting bumped into ,7
Can�t find the right drill size because of clutter,0
Not a full range of glove sizes ,3
Bolts too tightened on lathe ,1
Table top is too high,4
Cleaning up the machine,6
Finding the correct drill,0
Gloves were too big,3
Trash was full ,10
Scrap bin not used correctly ,8
Someone left machine as they used it,0
Someone bumped into her,7
Trash was ripped,10
Pieces that were too small were left in the trash,0
Gloves only had size large,3
The drill she wanted was buried in the cabinet ,9
Got bumped into,7
Gloves too large,3
Finding a clamp,5
Chuck too tight,1
Saw dust not cleaned up,6
