Code,Average similarity to other codes
"The lathe chuck was tightened too much, so the user loosened it with pliers",0.8758182466030121
"Only 18 V drills were displayed, which are too big to use with one hand",0.8714852690696716
"Only size large disposable gloves were available, so the user struggled with the epoxy",0.8922992944717407
The miter saw is a bit uncomfortable to use since it’s on a tall table,0.8692890167236328
"The user had to hunt down a clamp, since people forgot to put them away",0.882198691368103
"The lathe was covered in sawdust and wood chips, so the user cleaned it up",0.8630655765533447
"the user bumped the emergency stop button of the lathe, as someone squeezed behind them",0.8962834239006042
"wood scraps were too small to be useful to anyone, so they went in the trash",0.8929359138011932
the user dug through the unlabeled cabinets to find a smaller 12 V hand drill,0.8430982053279876
"the trash bag was ripped, so the user took the trash out and replaced the bag",0.8794743478298187
"Epoxy needs to cure for 24 hours, so the user went home for the day",0.8684035897254944
