Input phrase,Assigned code
But it's all blockchain related so.,1
Do you want blockchain?,1
Well we might as well just go for the GitHub then. GitHub or Taipei. Taipei very few people will probably go for like if that's your goal.,9
What do you want the project to have? Like we talked about game dev we talked about computer vision. It's like what we wanted to touch upon.,1
"I'm interested in game dev. I'm concerned that we can't finish a polished product in the time we have because game dev is just difficult to like polish unless you do a hack scrappy job. The other thing that I was thinking of was computer vision related. So robotics and computer vision. I'm interested in it, but I just feel like it's going to be what everybody does because of the resources.",1
And scrappy good. Was it overused? What other thing? We also have AI which is going to be very difficult to have a niche.,9
"OK, if you use computer vision. OK, I got it. I think that's definitely possible. So. The only caveat is I think robotics and computer vision. Is there a nice use case? But well, if you want to do something nobody else is doing that, it's mobile or Web dev or you know screw in dev.",7
"Playing ping pong. Against this hypothetical TV screen and then it's scanning you and your movement depending, and it'll say like the ping pong bounce or not, depending on if you actually caught it.",2
OK. Interesting.,6
"Like image detection or something so a camera can detect all your body movements and all your body like translations, positions, rotations into data and it’ll like transmit that data to whatever IP address that you want and that could be to your laptop or to your IPad or anything? So we can use that data based on your body movements for anything like the ping pong idea. That's just one way to go about it. Or we could quite literally just use the Kinect, I feel like it's straightforward.",2
"OK. So, like what? What general field are we all like thinking about going into? A game dev game like a game idea? Sort of. Or do you want to make something like a, cause like an idea that I had was maybe like sort of like a like just a hardware thing. So like like in the like orientation sort of thing, he gave an example where like someone made a like a like a camera like he just duct taped his phone camera on his like face and he just had, like, a bunch of flex sensors. And he just quite literally like just controlled the zoom on it just to, like, see how far people are or whatever it is. Like. It was a simple project, but apparently did really well. So I was thinking something like that. Like, we would have some, I guess, physical sensors and we could make the user interact that way and it translates to maybe your web page or it does something? I don't know this is an idea.",2
That's why the the gesture thing is like simple enough.,6
Invested robotics will be overused. Like what does that mean?,3
"Ohh, it's like everyone's going to be doing it in this hackathon so we.",9
"Yeah, yeah, I like that.",6
"OK, cool idea, tie laces. How would we go about?",6
"Put your shoe in one place and if something happens or like a robot that walks to you, but that’s just added complexity. Forget all of that. Forget the implementation.",2
Pretty fire.,6
We can write that down. At least that's that's something.,6
"I should. Wait, you're imagining something that picks our trash or like categorizes when you throw it inside the bin that categorize?",4
"Like it will be like. It'll at least make recycling a bit easier because sometimes people may not know. OK, what do I do? I picture this is being like a universal bin. You can dump it out in and it sorts it itself OK. Like, that's just the idea.",2
