Speech Segment,Open code(s)
Do you want to do like a mic check real quick or?,
Is that correct?,
"OK, testing 123123. Testing. Testing.",
Yeah.,
"Yeah, 123123.",
"Actually, I could also start writing the people in the.",
Yep. Is it for now.,
123,
"123 of those, like a water dispenser. Just to fill my bottle.",
Any of the bathroom?,
Any bathroom works.,
"The gender neutral ones won't. I don't. I didn’t see one on this floor, but the other ones that are gendered usually have the.",
The top thingy?,
"No, the the refill station right outside.",
"OK, cool. I'll be right back.",
"And then mic test. Am I good? Yeah, next.",
"Yeah, me too. I didn't get one of the whole days.",
What's on your mind?,
I don't know. I'm balancing ideas against prizes.,Prizes
"That turn right from here, right?",
"Before you shoot them down, say them out loud.",Scoping
But it's all blockchain related so.,Desired topic
Do you want blockchain?,Desired topic
"No, I, no, I know I'm thinking of it because I want a prize, so I'm trying to separate that out",Individual goal of getting a prize
Well we might as well just go for the GitHub then. GitHub or Taipei. Taipei very few people will probably go for like if that's your goal.,Uniqueness of project
"Yeah. No, I don't want to like overshadow what everybody wants to do.",Alignment of individual goal with team goal
What do you want the project to have? Like we talked about game dev we talked about computer vision. It's like what we wanted to touch upon.,Desired topic
She said that's awesome. Maybe they might not.,
"I'm interested in game dev. I'm concerned that we can't finish a polished product in the time we have because game dev is just difficult to like polish unless you do a hack scrappy job. The other thing that I was thinking of was computer vision related. So robotics and computer vision. I'm interested in it, but I just feel like it's going to be what everybody does because of the resources.",Desired topic
"Repeat, which is what everyone will already do?",
Robotics,
"OK, cool. Thank you so much.",
"because so we have, they have some really nice libraries to make computer vision robotic products? Yeah, yeah, like the demo in the workshop is basically a bot that looks at you and finds you and like humans and gives you snacks like, it carries snacks and just gives you snacks. That's like the example. That's the example.",
Are they making up BigMacs? OK. That's cute.,
"UM. Then they have one where like basically if you have a Pacman shirt it goes close to you, if you have a ghost shirt it goes away",
And scrappy good. Was it overused? What other thing? We also have AI which is going to be very difficult to have a niche.,Uniqueness of project
Because actually I'm also.,
"Wow, I'm so negative.",
"Like because I flew, I'm in.",
You are the devil's advocate of the group now.,Role allocation
[North American city] for a study.,
Hahah no,
I came in from it,
And you said it's too niche or something?,
"so my time zone is like, yeah",
"No, too difficult to make a niche in AI because all it takes is a prompt.",
"I don't know how I'm still operating, yeah. 8 hours from here.",
Oh that's that's crazy.,
"OK, if you use computer vision. OK, I got it. I think that's definitely possible. So. The only caveat is I think robotics and computer vision. Is there a nice use case? But well, if you want to do something nobody else is doing that, it's mobile or Web dev or you know screw in dev.",Feasibility of idea
I have a theory that will put game dev and computer vision together.,
"OK. Yeah, go for it.",
"Like you know, those games where? Take the Wii. Where you like, move around and then it detects what your movement is to determine what the input is? So like the example that my professor gave was like if you're playing ping pong instead of like you actually physically moved to catch the ball as you're playing pinball.",Topic generation
Mm-hmm. OK. So it's like you're playing ping pong with body movements is that what you're conference?,
