Speech Segment,Open code(s)
"They have a workshop later, but like also according to like, I watched the workshop last night. It seems very simple like yeah, almost purely software, and like a bit of like mechanical testing and they give you a lot of functionality. Just in software. OK, OK, yeah. That's just to unblock you guys if like complexity of like task is an issue.",Addressing group concern(s)
Keep me updated in case you guys need. Anything. OK. Yeah.,Member leaves
"Yeah, yeah. I think I think my hunger is cutting in the brain.",Concern about health
"Did you write the idea down? OK, I'm just gonna go down and ask and come back and be more refreshed.",Memeber leaves
"See, you thought that all the all the way through.",Admiration
"Hey, what did I miss?",Member returns
That's true. Where did Speaker 2 go? Also a workshop or something?,Commenting on missing member
He said he wanted to be recharged when. he got back.,Sarcasm
"What does that mean? OK, cool. He's charging. This has a power plug on his back and just.",Sarcasm
Speaker 2 is back,Member returns
Do you think that you guys are and we all are too tired to function?,Concern about health
What do you guys think?,Checking in with others
"OK, OK. Is it OK then if like? This is going to sound super asshole, but like is it OK then if like should I like split separately and do my own thing? I feel like I'm pushing this agenda on you guys, OK and it's like really, really like solo. Like it's it's like like I agree with you guys, you guys should be doing this for fun and like.",Permission to leave team
"Yeah. What do you guys think? Like I'm honestly. OK, with that as well.",Checking in with others
"Its okay bro, don't worry about it. It's all good. Don't worry about it. But yeah, all right, sweet.",Reassurance
"I mean, I think you guys can do this. I really think it's fun, I wish there was a computer vision prize.",Reassurance
"You don't gotta feel bad if you wanna do your thing. You do your thing, and then we'll just post again on the looking for team chat.",Reassurance
You guys okay?,Checking in with others
So I will root for you guys to reach top 12.,Well wishes
Sounds good. But hopefully we can. Pitch this idea in the group and hopefully someone.,Recruitment of new team member
"Good luck, guys",Well wishes
Should I leave this here?,Member leaves
"OK, like you gotta do like this spread. Leaving your laptop here overnight. Yeah, I will. So we're not leaving.",Member leaves
There is one who wants to meet us right now.,First mention of new team member
