Speech Segment,Axial code(s)
I don't know. I'm balancing ideas against prizes.,Hackathon features
"Before you shoot them down, say them out loud.",Design process
But it's all blockchain related so.,Project
Do you want blockchain?,Project
"No, I, no, I know I'm thinking of it because I want a prize, so I'm trying to separate that out",Individual goal
Well we might as well just go for the GitHub then. GitHub or Taipei. Taipei very few people will probably go for like if that's your goal.,Project
"Yeah. No, I don't want to like overshadow what everybody wants to do.",Alignment of goals
What do you want the project to have? Like we talked about game dev we talked about computer vision. It's like what we wanted to touch upon.,Project
"I'm interested in game dev. I'm concerned that we can't finish a polished product in the time we have because game dev is just difficult to like polish unless you do a hack scrappy job. The other thing that I was thinking of was computer vision related. So robotics and computer vision. I'm interested in it, but I just feel like it's going to be what everybody does because of the resources.",Project
And scrappy good. Was it overused? What other thing? We also have AI which is going to be very difficult to have a niche.,Project
You are the devil's advocate of the group now.,Team process
"OK, if you use computer vision. OK, I got it. I think that's definitely possible. So. The only caveat is I think robotics and computer vision. Is there a nice use case? But well, if you want to do something nobody else is doing that, it's mobile or Web dev or you know screw in dev.",Project
"Like you know, those games where? Take the Wii. Where you like, move around and then it detects what your movement is to determine what the input is? So like the example that my professor gave was like if you're playing ping pong instead of like you actually physically moved to catch the ball as you're playing pinball.",Team process
"Playing ping pong. Against this hypothetical TV screen and then it's scanning you and your movement depending, and it'll say like the ping pong bounce or not, depending on if you actually caught it.",Project
OK. Interesting.,Project
"Like image detection or something so a camera can detect all your body movements and all your body like translations, positions, rotations into data and it’ll like transmit that data to whatever IP address that you want and that could be to your laptop or to your IPad or anything? So we can use that data based on your body movements for anything like the ping pong idea. That's just one way to go about it. Or we could quite literally just use the Kinect, I feel like it's straightforward.",Project
"OK. So, like what? What general field are we all like thinking about going into? A game dev game like a game idea? Sort of. Or do you want to make something like a, cause like an idea that I had was maybe like sort of like a like just a hardware thing. So like like in the like orientation sort of thing, he gave an example where like someone made a like a like a camera like he just duct taped his phone camera on his like face and he just had, like, a bunch of flex sensors. And he just quite literally like just controlled the zoom on it just to, like, see how far people are or whatever it is. Like. It was a simple project, but apparently did really well. So I was thinking something like that. Like, we would have some, I guess, physical sensors and we could make the user interact that way and it translates to maybe your web page or it does something? I don't know this is an idea.",Project
Cool. Do we know? Like what category are we trying to go for like? Is it just hardware?, Clarification
"We're just trying to go for the top 12 then. OK, OK.",Team goal
"To be fair, like if we're making a game, it's gotta be like sort of simple. You know what I mean? Because like, yeah.",Design process
That's why the the gesture thing is like simple enough.,Project
"Yeah, exactly because like, if you make a like a game, it can get like super complicated and it's gonna take too much time.",Team process
"So we're feeling game Dev and computer vision. Sorry, I'm kind of like think more along that line",Design process
Does anyone else want to add or subtract a topic? Yeah to what we're thinking about?,Team process
Invested robotics will be overused. Like what does that mean?,Project
"Ohh, it's like everyone's going to be doing it in this hackathon so we.",Project
"I I feel like I feel like a lot of people are gonna at least use hardware. They're they're preaching about hardware being like a big thing for this hackathon, so I think a lot of people will take advantage of that.",Hackathon features
Let's sync up. Sure. I don't know. It could be like something super small to solve a problem. Like what's a teeny problem?,Team process
"Yeah, yeah, I like that.",Project
"OK, cool idea, tie laces. How would we go about?",Project
"Put your shoe in one place and if something happens or like a robot that walks to you, but that’s just added complexity. Forget all of that. Forget the implementation.",Project
Pretty fire.,Project
We can write that down. At least that's that's something.,Project
"I should. Wait, you're imagining something that picks our trash or like categorizes when you throw it inside the bin that categorize?",Project
"Like it will be like. It'll at least make recycling a bit easier because sometimes people may not know. OK, what do I do? I picture this is being like a universal bin. You can dump it out in and it sorts it itself OK. Like, that's just the idea.",Project
"See with that my question is, is it something that picks something up and puts it down in the basket? Is it that the baskets have like valves that change where it lands?",Project
"Yeah, I got you. I'm thinking maybe it'll be a just add an item. It'll have to move over the baskets because if it's a valve then I don't know how it's going to. We might have to add some like ducts or something. I feel like that then it might be complicated.",Project
"Here, alright, this is an idea anymore. I mean, it could be something. A really small idea like I don't know. Small problem. Something to clean your glasses. I don't know. Yeah. I just. No, I'm just like throwing stuff out. I don't really. Yeah.",Design process
"Think what you can do is yeah, for sure, depending on what sensor you use. I guess if you use a camera and you can track a ball and predict it trajectory, but usually you need 2 balls to kind of see it in a 3D space and create a vector that projects that you know the direction and then.",Clarification
"Yeah, I think. Like when evaluating a hardware project, we can the difficulty of how hard that project is we can like break it down by looking at the the numbers, degrees of freedom, right. And so the more degrees of freedom there is, the harder the project will be, right. And I think we should limit ourselves to a certain degree of freedom. Right. So.",Design process
What would be an example of a degree of freedom that's doable?,Clarification
"So something that just rotates is 1 and then anything like with two joints, that's two degrees of freedom. So degrees of freedom is just like how many variables do you need to to describe the position of something? Right. So because with every increased degree of freedom, the math becomes more complicated, but the hardware required also scales, right? Yeah.",Clarification
"So I mean, I think like limiting ourselves will help because like if we do something too ambitious like we might not even get like half halfway through.",Team goal
Right. And I think like completing a project is better than going halfway and like giving up.,Team goal
"OK, I don't think we need to lend ourselves in our thinking, but rather just like the solutions we can come up with. OK, they should be like simple right in terms of mechanisms at least.",Design process
"Well, I think. Like we don't have to think about when necessary the solution is like we can start just by thinking about what is the problem we’re not solving right? And then we come up with asimple solution. But I'm not like a super good ideas guy, so I'm just like. Any inspiration?",Self-awareness
