Code,Copilot F1
No code,0.0
Desired topic,0.3333333333333333
Explanation of an idea,0.14814814814814814
Asking for idea clarification,0.3448275862068966
Clarification of idea,0.2222222222222222
Expanding on idea,0.0
Validation of idea,0.25
Feasibility of idea,0.2222222222222222
Coolness of idea,0.23529411764705882
Uniqueness of project,0.0
Interest in how difficult the problem is,0.0
Completeness of project,0.0
Difficulty or challenge of idea,0.18181818181818182
Challenge of the problem,0.0
Inspiration,0.0
Analogy,0.1111111111111111
Chosen idea,0.0
Project selected and named,0.0
