Speech Segment,Axial code(s)
Do you want to do like a mic check real quick or?,0
Is that correct?,0
"OK, testing 123123. Testing. Testing.",0
Yeah.,0
"Yeah, 123123.",0
"Actually, I could also start writing the people in the.",0
Yep. Is it for now.,0
123,0
"123 of those, like a water dispenser. Just to fill my bottle.",0
Any of the bathroom?,0
Any bathroom works.,0
"The gender neutral ones won't. I don't. I didn’t see one on this floor, but the other ones that are gendered usually have the.",0
The top thingy?,0
"No, the the refill station right outside.",0
"OK, cool. I'll be right back.",0
"And then mic test. Am I good? Yeah, next.",0
"Yeah, me too. I didn't get one of the whole days.",0
What's on your mind?,0
I don't know. I'm balancing ideas against prizes.,8
"That turn right from here, right?",0
"Before you shoot them down, say them out loud.",6
But it's all blockchain related so.,7
Do you want blockchain?,7
"No, I, no, I know I'm thinking of it because I want a prize, so I'm trying to separate that out",1
Well we might as well just go for the GitHub then. GitHub or Taipei. Taipei very few people will probably go for like if that's your goal.,7
"Yeah. No, I don't want to like overshadow what everybody wants to do.",3
What do you want the project to have? Like we talked about game dev we talked about computer vision. It's like what we wanted to touch upon.,7
She said that's awesome. Maybe they might not.,0
"I'm interested in game dev. I'm concerned that we can't finish a polished product in the time we have because game dev is just difficult to like polish unless you do a hack scrappy job. The other thing that I was thinking of was computer vision related. So robotics and computer vision. I'm interested in it, but I just feel like it's going to be what everybody does because of the resources.",7
"Repeat, which is what everyone will already do?",0
Robotics,0
"OK, cool. Thank you so much.",0
"because so we have, they have some really nice libraries to make computer vision robotic products? Yeah, yeah, like the demo in the workshop is basically a bot that looks at you and finds you and like humans and gives you snacks like, it carries snacks and just gives you snacks. That's like the example. That's the example.",0
Are they making up BigMacs? OK. That's cute.,0
"UM. Then they have one where like basically if you have a Pacman shirt it goes close to you, if you have a ghost shirt it goes away",0
And scrappy good. Was it overused? What other thing? We also have AI which is going to be very difficult to have a niche.,7
Because actually I'm also.,0
"Wow, I'm so negative.",0
"Like because I flew, I'm in.",0
You are the devil's advocate of the group now.,5
[North American city] for a study.,0
Hahah no,0
I came in from it,0
And you said it's too niche or something?,0
"so my time zone is like, yeah",0
"No, too difficult to make a niche in AI because all it takes is a prompt.",0
"I don't know how I'm still operating, yeah. 8 hours from here.",0
Oh that's that's crazy.,0
"OK, if you use computer vision. OK, I got it. I think that's definitely possible. So. The only caveat is I think robotics and computer vision. Is there a nice use case? But well, if you want to do something nobody else is doing that, it's mobile or Web dev or you know screw in dev.",7
I have a theory that will put game dev and computer vision together.,0
"OK. Yeah, go for it.",0
