"The lathe chuck was tightened too much, so the user loosened it with pliers"
"Only 18 V drills were displayed, which are too big to use with one hand"
"Only size large disposable gloves were available, so the user struggled with the epoxy"
The miter saw is a bit uncomfortable to use since it’s on a tall table
"The user had to hunt down a clamp, since people forgot to put them away"
"The lathe was covered in sawdust and wood chips, so the user cleaned it up"
"the user bumped the emergency stop button of the lathe, as someone squeezed behind them"
"wood scraps were too small to be useful to anyone, so they went in the trash"
the user dug through the unlabeled cabinets to find a smaller 12 V hand drill
"the trash bag was ripped, so the user took the trash out and replaced the bag"
"Epoxy needs to cure for 24 hours, so the user went home for the day"
