Input phrase,Assigned code
"Yeah. No, I don't want to like overshadow what everybody wants to do.",1
My expectation was more like you're you're our main hardware like the most hardware person out of all of us and they didn't want you to not have what you like doing in the project.,3
We can keep thinking of other stuff too.,5
"I think that's cool with me. Yeah, I'm down to do that. What do what do you know how like, what do you know how to what to use?",2
"This one I'm down for whatever. Like if you guys are all competing, I'm competing, you know, I'm going with the flow.",1
"Yeah, yeah. I don't want to, like, tell you guys later that ""I oh shit guys, I wish we should compete. And I just fucked up."" So yeah.",1
"Now I think I think the idea is cool, it's just that it's very like good for learning, and not for the prize category. Yeah, which is fine. Like, it's totally fine. I'm thinking about it for myself now.",4
"We could still do that the control robot with camera gestures. I have the servos, which is the one, we could do that one.",5
Like you came here. Like if you came here like you should do what you want to do. Right. You know what you feel most comfortable with,3
"Yeah, I know you guys like this idea, I feel really bad.",1
