Code,Average similarity to other codes
Desired topic,0.5965847745537758
Explanation of an idea,0.7557785511016846
Asking for idea clarification,0.7121803015470505
Clarification of idea,0.7421848680824041
Expanding on idea,0.6003425158560276
Validation of idea,0.726774487644434
Feasibility of idea,0.7276524752378464
Coolness of idea,0.6709774881601334
Uniqueness of project,0.6632523760199547
Interest in how difficult the problem is,0.6328171491622925
Completeness of project,0.6533894427120686
Difficulty or challenge of idea,0.7284735087305307
Challenge of the problem,0.6269013583660126
Inspiration,0.2883265297859907
Analogy,0.6275460664182901
Chosen idea,0.6082716248929501
Project selected and named,0.5538657084107399
